localidad,latitud,longitud
usaquen,4.8214174,-74.0190043
usaquen,4.821575,-74.0193713
usaquen,4.8217904,-74.0198412
usaquen,4.8218993,-74.0200307
usaquen,4.8221658,-74.0204266
usaquen,4.8222704,-74.0205991
usaquen,4.8223569,-74.0207848
usaquen,4.8224025,-74.020955
usaquen,4.822411,-74.0210432
usaquen,4.822409,-74.0211355
usaquen,4.8223965,-74.0212332
usaquen,4.8223733,-74.0213378
usaquen,4.8223049,-74.0215463
usaquen,4.8221151,-74.0220031
usaquen,4.8220431,-74.0222049
usaquen,4.8219495,-74.0226145
usaquen,4.8218503,-74.0230483
usaquen,4.821792,-74.0233519
usaquen,4.8217563,-74.0236102
usaquen,4.8217408,-74.0238419
usaquen,4.8217453,-74.0240516
usaquen,4.8217673,-74.0242287
usaquen,4.8218066,-74.0243913
usaquen,4.8218611,-74.0245343
usaquen,4.8219338,-74.0246616
usaquen,4.8220144,-74.0247691
usaquen,4.8221174,-74.0248838
usaquen,4.8222903,-74.0250492
usaquen,4.8225085,-74.0252579
usaquen,4.8226501,-74.0254063
usaquen,4.8227674,-74.0255561
usaquen,4.8228704,-74.0257291
usaquen,4.8230089,-74.0260045
usaquen,4.8231292,-74.0262938
usaquen,4.8232287,-74.0265912
usaquen,4.8233027,-74.0268822
usaquen,4.8233368,-74.0271007
usaquen,4.8233535,-74.0273359
usaquen,4.8233533,-74.027592
usaquen,4.8233362,-74.0278803
usaquen,4.8231939,-74.0291906
usaquen,4.8231613,-74.0293917
usaquen,4.8230578,-74.0299246
usaquen,4.8230243,-74.0302209
usaquen,4.8230238,-74.0303723
usaquen,4.8230377,-74.0305116
usaquen,4.8230679,-74.0306499
usaquen,4.8231152,-74.0307973
usaquen,4.8232351,-74.0310673
usaquen,4.8236633,-74.0318453
usaquen,4.8237664,-74.0319291
usaquen,4.8243672,-74.032617
usaquen,4.825463,-74.0337235
usaquen,4.8255494,-74.0341985
usaquen,4.8256034,-74.0344933
usaquen,4.823786,-74.034832
usaquen,4.820708,-74.0351288
